Groceries,Other Purchases,Dining,Transportation,Gas/EV charging,,,,,,,,,
No Frills,Costco,Boston Pizza,United Airlines,Husky,,,,,,,,,
Real Canadian Superstore,Real Canadian Wholesale Club,Swiss Chalet,American Airlines,Esso,,,,,,,,,
Metro,Chatters Salon,The Keg,British Airways,Shell,,,,,,,,,
Food Basics,Supercuts,Mandarin,Air Canada,,,,,,,,,,
Maxi,First Choice Haircutters,Rotisserie St. Hubert,Royal Dutch Airlines (KLM),,,,,,,,,,
Sobeys,The Spa at Nita Lake Lodge,Montana's,Delta Airlines,,,,,,,,,,
Super C,Willow Stream Spa,Red Lobster,Southwest Airlines,,,,,,,,,,
FreshCo,Milcroft Inn & Spa,East Side Mario's,WestJet Airlines,,,,,,,,,,
Zehrs,Melonheads,Kelsey's,Porter Airlines,,,,,,,,,,
Safeway,Pure Simple Spa,Jack Astor's,Flight Centre,,,,,,,,,,
Foodland,Spa Balnea,Moxie's,Air Transat,,,,,,,,,,
Marche,Venere Salon,Baton Rouge,Booking.com,,,,,,,,,,
Loblaws,Quartz Crystal Spa,Cora,Expedia,,,,,,,,,,
Save-On-Foods,St. Anne's Spa,Milestones,Hotels.com,,,,,,,,,,
Provigo,Donato Salon & Spa,Normandin,Travelocity,,,,,,,,,,
YIG,Pure Spa,Crabby Joe's,Via Rail,,,,,,,,,,
Fortinos,Shoppers Drug Mart,Lone Star,Amtrak,,,,,,,,,,
Supermarche,Pharma Plus Drugmarts,Smitty's,Royal Caribbean International,,,,,,,,,,
Valu-mart,Pharmx Rexall Drug,Shoeless Joe's,Carnival Cruise Lines,,,,,,,,,,
Atlantic Superstore,Uniprix,Applebee's,Holland America Line,,,,,,,,,,
Longos,Familiprix,St. Louis,Greyhound,,,,,,,,,,
T&T,well.ca Inc,Fionn MacCool's,FlixBus,,,,,,,,,,
Alimentation,Pharmacie Brunet,Tony Roma's,Hertz,,,,,,,,,,
Farm Boy,Proxim,Pizza Delight,Budget,,,,,,,,,,
Cash & Carry,Total Health Pharmacy,Ricky's All Day Grill,Avis,,,,,,,,,,
Dominion,Main Drug Mart,Sunset Grill,,,,,,,,,,,
